,ELLIP,PHIE,GAMMA,PHIG,ellipticity_true,e2_mass,e1_light,e2_light,gamma1,gamma2
1546,0.2286344,-170.8185,0.124436,64.46337,0.24131998,-0.04066247855112093,0.22903188240585934,0.07602453280901512,-0.12351953822740591,-0.015074540526610137
1547,0.2237796,-156.4227,0.08018951,134.9008,0.20654401,-0.09237212151903651,0.14045457060967176,0.15143626270392707,0.0746061304570522,-0.029398687254117494
1548,0.3988614,16.91144,0.09267618,-159.1553,0.38626796,-0.1386620669445375,0.32089684216134495,0.21500733385965826,-0.049311067428814026,0.07846842019834066
1549,0.6534034,-143.8066,0.04037075,-120.6421,0.4848291,-0.46247888187705327,0.14670418627087872,0.4621007876398928,-0.03289356914935482,-0.023405353323099242
1550,0.4111357,61.10825,0.04626588,-13.96046,0.45508155,-0.2189218509538038,-0.24261304868081418,0.38501704606446124,-0.04340649262434483,-0.0160127464923135
1551,0.5245468,-82.27747,0.04835948,69.95585,0.62513524,0.09467889886166965,-0.6025592689368153,-0.16648241861586557,-0.0053485672251228,0.04806279366109239
1552,0.2742741,122.5839,0.05207109,78.91398,0.28948805,0.1442379446620076,-0.12157403357769096,-0.26272244946416934,0.03815915315572253,0.03542989478147248
1554,0.1307226,-53.32564,0.04529356,107.8985,0.122805685,0.0669996564544299,-0.03518947243638659,-0.11765601258740671,-0.02549622928210067,0.03743593019905011
1559,0.3968327,-53.21166,0.05046128,-71.76682,0.3936838,0.2374309410505826,-0.11130696270128182,-0.3776210990353366,0.02812390717042793,0.04189733433892367
1560,0.3994189,-65.04641,0.0310787,-104.9529,0.34856668,0.1909033553409844,-0.22448662121719296,-0.2666542467329387,-0.02598069967709168,-0.017055463581467617
1562,0.3762728,136.5153,0.05960676,-76.86631,0.34346735,0.23140990701913602,0.018158874101271878,-0.3429869907261743,-0.05835355139651663,-0.01215848991905212
1566,0.3498929,147.0513,0.08068887,-73.23944,0.3694315,0.19355574789045896,0.1508654373173958,-0.33722285363729565,-0.03103645159097463,-0.07448108762980027
1567,0.1797871,-163.5335,0.06853567,-132.0379,0.17332853,-0.053698490726848236,0.14547582760175573,0.09423143263022778,0.06740349988477244,-0.012405896405837903
1568,0.2193807,-21.51422,0.0516081,160.7887,0.21852392,0.08407013194002654,0.15974428236675692,-0.1491122659719723,0.021787823157547664,0.04678340248063868
1569,0.3488158,-62.40697,0.05902704,60.38607,0.3275781,0.17343999256019527,-0.18701870570395354,-0.26894500426003076,0.010519797305150059,0.05808205674578129
1571,0.1842405,17.24838,0.07695276,78.38378,0.17998235,-0.05746707200123481,0.1483339326355113,0.10193473765309881,0.07323588289606131,-0.023626949190532272
1572,0.2695925,125.1228,0.04371608,-161.3694,0.28979698,0.14662846652099448,-0.09794818977390642,-0.2727424457929774,-0.029007772826898676,-0.032705424109609686
1574,0.2874131,81.57967,0.05965512,36.94636,0.24477656,-0.0486204592248499,-0.23427910789806558,0.0709144832027998,0.0038922733925055956,-0.05952800643438677
1575,0.2509959,-94.49779,0.02044249,61.80582,0.2513846,-0.02243864659816168,-0.2482926713732054,0.039306061358490754,-0.009462933368239435,-0.018120383259422543
1577,0.3198468,-65.74443,0.0812878,-7.64053,0.29719934,0.1426014561836952,-0.19688695934237607,-0.22262743078369546,-0.07399240905901282,-0.033657537498808746
1578,0.2558597,-43.58552,0.04555162,-64.33665,0.2121676,0.14651796566252423,0.010471448611773933,-0.21190903532820626,-0.045155357383278076,-0.005995313520812237
1580,0.06251237,174.7245,0.04313769,-40.42773,0.068564616,0.005908002469987987,0.06740534651909282,-0.012554912499435337,0.0292412963923078,0.03171445859278236
1582,0.352486,162.1629,0.04898926,82.97785,0.33508804,0.12477052730092379,0.2722074993808641,-0.19541512692690527,-0.0417975261663087,0.02555218976378227
1583,0.1509626,-1.224385,0.03242175,-105.8069,0.14136991,0.0034883239605470683,0.14124081435129923,-0.006040183340752366,-0.013918263080199167,0.0292822783589813
1584,0.2387981,-7.859269,0.06871866,174.6361,0.25673553,0.036732443537075284,0.2471346849611753,-0.0695527127689606,-0.05838897050097663,-0.036235098399641216
1586,0.7540816,176.3158,0.08997367,4.554391,0.4848291,0.07762141129887018,0.48082540331559176,-0.062178675872106466,-0.0855188344796495,0.02796051220044464
1587,0.4496548,83.76648,0.05177425,109.4955,0.44446352,-0.06261222213817973,-0.4339832278665147,0.09594987515026322,0.03134587163528618,-0.04120690833448514
1589,0.3907425,22.94724,0.03890416,-148.2379,0.37958452,-0.17435138004743286,0.2641839855077547,0.2725641752411141,0.015318447272283207,-0.03576141549871704
1590,0.2539485,-145.9782,0.05207415,167.1435,0.20694041,-0.13489251145816358,0.07737521214719559,0.1919307422904017,0.015021285811252717,0.04986058634632326
1591,0.3490373,-92.60971,0.0571512,-42.66654,0.38922498,-0.019232394591838543,-0.3876111061598034,0.03540784429436566,-0.04987620970807366,0.027903823512132858
1592,0.3745113,31.1509,0.045798,-49.03239,0.39403155,-0.20399734971027342,0.18315147152240555,0.3488787767614706,-0.035743144882537,0.02863362355528844
1593,0.4287778,-55.95986,0.06806663,56.91,0.4223669,0.2531663058182572,-0.15767256348953412,-0.39183307790212,0.051053113866991684,0.04501828166468464
1594,0.5118745,-174.4148,0.02630831,89.91861,0.4734039,-0.06663698131350297,0.46443543794081027,0.09171137617513832,-0.018952117864642886,-0.018246764192611908
1595,0.1858516,-59.34427,0.03634331,158.179,0.17367844,0.08986964135541374,-0.08337399569933661,-0.15235805643929892,-0.021350880833224017,0.029410475504513138
1598,0.2857006,-96.07522,0.07261603,-44.21744,0.072701484,-0.035077917509088286,-0.07107284872378854,0.015302155079848069,0.06473275117748878,-0.03290529954208327
1599,0.07249763,-11.20328,0.04648416,19.05104,0.086793125,0.014336881554825274,0.080240452143266,-0.0330834760433341,0.042760829158948195,0.01822878549286389
1600,0.4420292,-35.02514,0.0520029,26.86432,0.45279416,0.2666956840501559,0.154491276851913,-0.4256230688141459,-0.049337335053346,-0.016435600939542067
1601,0.2479187,170.7703,0.04157515,-154.4396,0.24588732,0.04480336636241331,0.2332359896275553,-0.07785593926758136,0.02235389111101357,-0.035054195893208684
1607,0.01541135,-110.0265,0.05968909,-100.8554,0.02790686,-0.00499707645896249,-0.021361292624456043,0.01795795123258673,0.047558300031174276,-0.03606931608961984
1611,0.3217827,30.49616,0.02368399,112.4886,0.2772468,-0.16768780623268043,0.13444441768532492,0.24246749609688698,0.008195124089015078,-0.022220965854024995
1612,0.3281668,-103.3054,0.05237487,-78.54432,0.307684,-0.08792442630946784,-0.2750909786062016,0.13782016305853934,0.0523727453800292,-0.00047175086171559043
1613,0.4275393,102.1708,0.03152666,-31.2104,0.15406245,0.11206730336713212,-0.1403669535099186,-0.06350084143022719,0.028900506565702123,0.01259726204384938
1616,0.3506923,-113.9711,0.07371718,54.34035,0.31387624,-0.15787127622483643,-0.2102594001082161,0.23304351246638605,-0.021485658762293174,0.07051658737277842
1617,0.4993589,-98.9861,0.1102562,-11.87329,0.4379804,-0.10267607427007491,-0.41660973321409533,0.1351412630377576,0.020241698261841377,0.1083822092869331
1618,0.060077,147.2662,0.03945072,-76.35364,0.052913517,0.02817310082075198,0.021970102195309635,-0.04813683507291411,-0.013157656002598155,-0.037191872728268106
1619,0.486952,96.62257,0.04622043,-41.25882,0.49602586,0.07373816507555535,-0.4828309255165234,-0.11364836626013203,0.03097991956952533,-0.03430120599702934
1623,0.4249697,-147.546,0.05969518,126.5168,0.4182752,-0.2443536913540977,0.17737920941718882,0.37880174102236264,-0.008057543504879333,0.0591488842489812
1624,0.3222562,-72.34307,0.05957729,-139.4579,0.3568679,0.11103114696326673,-0.29120341448193915,-0.2062892858208346,-0.0461021035901503,-0.0377365807712775
1626,0.1549267,97.93213,0.06566005,168.9404,0.14997992,0.022953368023014006,-0.14426748674125744,-0.04099839841466406,0.010434246849471961,-0.06482567900675461
1627,0.2556282,-77.01104,0.07512355,57.94443,0.24838322,0.06419014436632789,-0.22328730325826254,-0.10879799713791201,-0.07056725642910422,0.025764512117863774
1628,0.4332514,115.5334,0.05255519,21.29736,0.5036555,0.21510613040254514,-0.3165041193574341,-0.3917831097814518,0.009575335245603937,-0.051675535322533384
1629,0.5217711,141.1449,0.03503777,179.3456,0.5250918,0.34488158357466564,0.11176917423814436,-0.5130585250411139,0.02987719508025549,0.018302965352894524
1630,0.3974534,121.8058,0.08861899,7.954681,0.47796223,0.22217104700712564,-0.21243214175388325,-0.42815940776354655,-0.08682779940547238,-0.01772734156671977
1631,0.5773151,-145.8336,0.04377767,131.8629,0.4734039,-0.37712101589480373,0.17478772533754516,0.43995511544535637,0.04316145635395938,-0.007319363089378699
1632,0.3955527,1.306064,0.05778204,59.43183,0.3912826,-0.011235703333347264,0.3908760359625693,0.017832486448846083,0.05023424306978082,-0.028553195438825726
1634,0.383112,2.136326,0.06180017,-75.65359,0.3321673,-0.017652983548222693,0.3312441433719372,0.024747377054579238,0.05391364150139861,-0.030208943577814326
1636,0.2155289,-70.4451,0.07736328,-162.7139,0.21808106,0.07618922472133059,-0.16921749569876035,-0.13756739395715706,0.02085585344657759,0.07449906354695526
1639,0.4617622,-74.22364,0.04135122,13.1802,0.47796223,0.15708381263248872,-0.4072998316847638,-0.25010945687065883,0.013912344675544287,0.0389405965685845
1640,0.2395013,159.7884,0.1294975,-44.54176,0.22362296,0.08821329921800243,0.1702387501753534,-0.14500343505550203,0.05654497628618154,-0.11650007795295746
1643,0.26624,27.412,0.03636776,-134.1508,0.27625728,-0.12551963578085318,0.15914905111860064,0.22580891098680653,-0.010906138018842226,0.03469394934180259
1644,0.2005667,94.91552,0.1230235,-51.61963,0.21769005,0.019031227251689795,-0.21449338978934276,-0.03716912166946625,-0.1116544247407392,-0.051653373443218666
1646,0.2991492,89.69125,0.06447063,38.12397,0.32136446,-0.0018955164128409737,-0.3213457965337502,0.003463408896048781,0.04256326797898257,0.04842344836488018
1650,0.2798121,-40.92165,0.06074371,5.142095,0.246238,0.1610181348037486,0.034936467051132285,-0.24374699159986596,-0.039658531792818696,-0.046010859159573286
1651,0.356373,-82.72987,0.04026656,-161.8566,0.3485386,0.05443515308958747,-0.3373754199402186,-0.08750418110079712,-0.03993117435118032,0.00518624808211473
1652,0.2570543,-102.9067,0.05029797,-62.98817,0.28698158,-0.06422010060584746,-0.25834568480340087,0.12496373234966288,0.047859865782099706,-0.015469939671514622
1654,0.4393932,-72.58708,0.03101789,-116.1331,0.42135864,0.16079024960732152,-0.3458898262117933,-0.24063111109294447,0.030325703682200257,0.006516225612383729
1656,0.4267696,155.3619,0.09195683,132.016,0.46128535,0.20558530948092474,0.30094868255521245,-0.34959128220381075,0.09107985738158456,0.012669576275437125
1657,0.2000037,-113.6325,0.02405336,-106.0432,0.18579975,-0.08161281021989045,-0.1260852853911258,0.13646995239942328,0.0006949463492854138,0.024043318757218497
1658,0.2390909,-123.6769,0.05627871,-75.38517,0.28263012,-0.12530857045017862,-0.10882379426696699,0.2608393500462597,0.05625953144882469,0.0014691223307831704
1659,0.1743212,176.3294,0.06607564,-168.6046,0.19909,0.01220060363820737,0.19745802285491282,-0.025439286747641638,-0.03237248478709537,0.05760219119199268
1660,0.4314279,95.59468,0.04354719,-56.91179,0.41034582,0.05337308062899432,-0.402545641800128,-0.07962850155060922,0.03255908387747351,-0.02891822632797082
